refactoringType,name,description,diffUrl
"Rename Method",netty,"Rename Method	public canHandleInbound() : boolean renamed to public hasInboundByteBuffer() : boolean in class io.netty.channel.DefaultChannelHandlerContext",https://github.com/netty/netty/commit/5e93d206ffeb637f9b4885643860ff63a8412dc6?diff=split
"Rename Method",netty,"Rename Method	public persistValue(ID int) : boolean renamed to public isPersistValue(ID int) : boolean in class io.netty.handler.codec.spdy.DefaultSpdySettingsFrame",https://github.com/netty/netty/commit/fdb66b629403a5bfca1fc6c14f8e743cdbe08898?diff=split
"Rename Method",netty,"Rename Method	public wrapMedium(values int) : ChannelBuffer renamed to public copyMedium(values int) : ChannelBuffer in class io.netty.buffer.ChannelBuffers",https://github.com/netty/netty/commit/c8fa42beaf29fe0b65a8fbb8a031f9db46e14c10?diff=split
"Rename Method",clojure,"Rename Method	public get(i int) : Object renamed to public nth(i int) : Object in class clojure.lang.PersistentArrayList",https://github.com/clojure/clojure/commit/cdd429f0d51b754ed0d2f4ab4cd9b90d320a3c0e?diff=split
"Rename Method",netty,"Rename Method	public wrapBoolean(value boolean) : ChannelBuffer renamed to public copyBoolean(value boolean) : ChannelBuffer in class io.netty.buffer.ChannelBuffers",https://github.com/netty/netty/commit/c8fa42beaf29fe0b65a8fbb8a031f9db46e14c10?diff=split
"Rename Method",titan,"Rename Method	private getVertexIDType(vertexid long) : VertexIDType renamed to private getUserVertexIDType(vertexid long) : VertexIDType in class com.thinkaurelius.titan.graphdb.idmanagement.IDManager",https://github.com/thinkaurelius/titan/commit/923dbcd39c67bda3f91580a6ceab68f64fb554de?diff=split
"Rename Method",netty,"Rename Method	public count() : int renamed to public isFirst() : boolean in class io.netty.handler.timeout.IdleStateEvent",https://github.com/netty/netty/commit/9da01417b25bca25af70f27246ab961166cd85bb?diff=split
"Rename Method",voldemort,"Rename Method	public RebalanceClient(cluster Cluster, config RebalanceClientConfig) renamed to public RebalanceClient(bootstrapUrl String, maxParallelRebalancing int, config AdminClientConfig) in class voldemort.client.rebalance.RebalanceClient",https://github.com/voldemort/voldemort/commit/f085f188403b8083b0b05fbcf3d2b329bac2ace1?diff=split
"Rename Method",titan,"Rename Method	public getStartTime() : long renamed to public getStartTimeMicro() : long in class com.thinkaurelius.titan.diskstorage.log.ReadMarker",https://github.com/thinkaurelius/titan/commit/6ef5e7d8b390cfc63a8dedc0dbbccb67517b7242?diff=split
"Rename Method",junit,"Rename Method	protected useReoadingTestSuiteLoader() : boolean renamed to protected useReloadingTestSuiteLoader() : boolean in class junit.runner.BaseTestRunner",https://github.com/junit-team/junit/commit/04f4f3197084ad9ad7c050ce1a40d6f4421662f4?diff=split
"Move Class",k-9,"Move Class	com.fsck.k9.mail.store.TrustManagerFactory moved to com.android.email.mail.store.TrustManagerFactory",https://github.com/k9mail/k-9/commit/28e882782776861e54064d863dbb27ddeaa7aa9d?diff=split
"Move Class",RxJava,"Move Class	rx.functions.Functions.NullFunction moved to rx.internal.util.UtilityFunctions.NullFunction",https://github.com/ReactiveX/RxJava/commit/56b9feaf4257c86f5f952677e3529b09cb16a620?diff=split
"Move Class",netty,"Move Class	org.jboss.netty.channel.socket.httptunnel.FakeChannelConfig moved to org.jboss.netty.channel.socket.http.FakeChannelConfig",https://github.com/netty/netty/commit/f7729bc8bb4cf6e0ee914bf2893b80cd02af9f28?diff=split
"Move Class",voldemort,"Move Class	voldemort.client.protocol.pb.TruncateEntriesResponse moved to voldemort.client.protocol.pb.VAdminProto.TruncateEntriesResponse",https://github.com/voldemort/voldemort/commit/9e63cd79c9d13a940d3538b3e88a46ffa39dd63a?diff=split
"Move Class",titan,"Move Class	com.thinkaurelius.faunus.formats.titan.util.ConfigurationUtil moved to com.thinkaurelius.titan.hadoop.formats.titan.util.ConfigurationUtil",https://github.com/thinkaurelius/titan/commit/9a47a0c36d02635d43689a36d04828be5e2e5d0b?diff=split
"Move Class",netty,"Move Class	org.jboss.netty.group.ChannelGroupFuture moved to org.jboss.netty.channel.group.ChannelGroupFuture",https://github.com/netty/netty/commit/5b3cb391e0830384032bcfd14818f19faaa67a67?diff=split
"Move Class",netty,"Move Class	org.jboss.netty.handler.timeout.ReadTimeoutHandler moved to io.netty.handler.timeout.ReadTimeoutHandler",https://github.com/netty/netty/commit/6fdb7d91165f7e82c5608c07ee911bc9b6fcdf5a?diff=split
"Move Class",RxJava,"Move Class	rx.operators.OperatorGroupByTest moved to rx.internal.operators.OperatorGroupByTest",https://github.com/ReactiveX/RxJava/commit/75303612b0041b0e0e819b209e554826def251fd?diff=split
"Move Class",netty,"Move Class	io.netty.handler.codec.serialization.OioNioSocketObjectStreamEchoTest moved to io.netty.testsuite.transport.socket.OioNioSocketObjectStreamEchoTest",https://github.com/netty/netty/commit/8663716d38040537f6660cf2b81ee74549e0ab6d?diff=split
"Move Class",netty,"Move Class	org.jboss.netty.handler.timeout.HashedWheelTimer moved to org.jboss.netty.channel.timeout.HashedWheelTimer",https://github.com/netty/netty/commit/2625d10e580831777a3443c9f866b57a830b974e?diff=split
"Move Operation",netty,"Move Operation	public newSucceededFuture() : Future from class io.netty.util.concurrent.AbstractEventExecutor to public getNow() : V from class io.netty.util.concurrent.SucceededFuture",https://github.com/netty/netty/commit/ce87b627be941e3dc56e85164088ab68f80188db?diff=split
"Move Operation",netty,"Move Operation	protected setOpWrite(channel AbstractNioChannel) : void from class io.netty.channel.socket.nio.SelectorEventLoop to protected doFlush(future ChannelFuture) : int from class io.netty.channel.socket.nio.NioSocketChannel",https://github.com/netty/netty/commit/607d784e5eb6dd73abccb3a4f42e8cc7cd7dd4bc?diff=split
"Move Operation",clojure,"Move Operation	public withMeta(meta IPersistentMap) : Obj from class clojure.lang.PersistentHashtableMap to public cons(o Object) : IPersistentCollection from class clojure.lang.AnArray",https://github.com/clojure/clojure/commit/279dd21d4b919496c8fb54c3135f2b82cc36f5c2?diff=split
"Move Operation",storm,"Move Operation	public findByThriftId(fieldId int) : _Fields from class backtype.storm.generated.DRPCExecutionException to public getFieldValue(field _Fields) : Object from class backtype.storm.generated.DistributedRPCInvocations.result_args",https://github.com/nathanmarz/storm/commit/cdb116e942666973bc4eaa0df098d5bab82739e7?diff=split
"Move Operation",netty,"Move Operation	protected getSucceededFuture() : ChannelFuture from class org.jboss.netty.channel.socket.nio.NioServerSocketChannel to protected setClosed() : boolean from class org.jboss.netty.channel.local.LocalServerChannel",https://github.com/netty/netty/commit/9410fd155e4612149f3e8b50bd77ca73f8325503?diff=split
"Move Operation",titan,"Move Operation	public makePropertyKey(name String) : PropertyKeyMaker from class com.thinkaurelius.titan.core.TitanTransaction to public makePropertyKey(name String) : PropertyKeyMaker from class com.thinkaurelius.titan.graphdb.blueprints.TitanBlueprintsGraph",https://github.com/thinkaurelius/titan/commit/6e3eaf56db44422348049f75117cb4b07aebfd9f?diff=split
"Move Operation",netty,"Move Operation	package writeMedium(value int) : CompositeByteBuf from class io.netty.buffer.CompositeByteBuf to public writeMedium(value int) : CompositeByteBuf from class io.netty.buffer.CompositeByteBuf",https://github.com/netty/netty/commit/65c2a6ed46c163081fed5307f33489a606177f33?diff=split
"Move Operation",clojure,"Move Operation	public peek() : Object from class clojure.lang.AMapEntry to public get(key Object) : Object from class clojure.lang.APersistentMap",https://github.com/clojure/clojure/commit/7de158ba6ee7cbf73e9f91fce4d038dd73b40789?diff=split
"Move Operation",k-9,"Move Operation	public expunge() : Message[] from class com.fsck.k9.mail.store.Pop3Store.Pop3Folder to public isExpungeCapable() : boolean from class com.fsck.k9.mail.store.ImapStore",https://github.com/k9mail/k-9/commit/41d7ca51a3de28451fa6d2b39ed310a67b8925f0?diff=split
"Move Operation",voldemort,"Move Operation	public getStealReplicaPartitionsList() : List<java.lang.Integer> from class voldemort.client.protocol.pb.InitiateRebalanceNodeRequest to public getPartitions() : List<Integer> from class voldemort.client.rebalance.RebalancePartitionsInfo",https://github.com/voldemort/voldemort/commit/d06fcec37fb3f3d45ffbd3fe15eafce77ba64069?diff=split
"Extract Operation",netty,"Extract Operation	public setOption(option ChannelOption<T>, value T) : boolean extracted from public setOption(key String, value Object) : boolean in class io.netty.channel.socket.DefaultDatagramChannelConfig",https://github.com/netty/netty/commit/08137e2c49a030a8dedb511af14f779e12b5f6a0?diff=split
"Extract Operation",k-9,"Extract Operation	private generateCV(key String, value String) : ContentValues extracted from protected put(key String, value String) : void in class com.fsck.k9.preferences.Storage",https://github.com/k9mail/k-9/commit/40bdf999256e6c4898e1adfb22c8ca34a7752318?diff=split
"Extract Operation",netty,"Extract Operation	public run() : void extracted from public main(args String[]) : void in class io.netty.example.telnet.TelnetClient",https://github.com/netty/netty/commit/1b02743367a045916f0d644a1fd50c1d2b7d38e7?diff=split
"Extract Operation",jsoup,"Extract Operation	private appendNormalisedText(accum StringBuilder, textNode TextNode) : void extracted from private text(accum StringBuilder) : void in class org.jsoup.nodes.Element",https://github.com/jhy/jsoup/commit/e4917452778b4e1b19b2fcbe9f258e9e4061a97f?diff=split
"Extract Operation",voldemort,"Extract Operation	public getRawStore(storeName String, resolver InconsistencyResolver<Versioned<V>>, clientId UUID) : Store<K,V,T> extracted from public getRawStore(storeName String, resolver InconsistencyResolver<Versioned<V>>) : Store<K,V,T> in class voldemort.client.CachingStoreClientFactory",https://github.com/voldemort/voldemort/commit/dc71868e4e27a0e602669e72e1c9c54d301f6058?diff=split
"Extract Operation",RxJava,"Extract Operation	private moveToNext() : boolean extracted from public hasNext() : boolean in class rx.operators.OperationNext.NextIterator",https://github.com/ReactiveX/RxJava/commit/e6a2951c78d1e0a2365ebbd4e5d956ba7ecd8d40?diff=split
"Extract Operation",netty,"Extract Operation	public run() : void extracted from public main(args String[]) : void in class io.netty.example.http.websocketx.sslserver.WebSocketSslServer",https://github.com/netty/netty/commit/1b02743367a045916f0d644a1fd50c1d2b7d38e7?diff=split
"Extract Operation",netty,"Extract Operation	public deregister(matcher ChannelGroupMatcher) : ChannelGroupFuture extracted from public deregister() : ChannelGroupFuture in class io.netty.channel.group.DefaultChannelGroup",https://github.com/netty/netty/commit/d23c3b3382ff6b2dc7625cb0a0cd31d767efafc5?diff=split
"Extract Operation",netty,"Extract Operation	private getOption(option SocketOption, defaultValue Object) : Object extracted from public isKeepAlive() : boolean in class io.netty.channel.socket.aio.AioSocketChannelConfig",https://github.com/netty/netty/commit/42f6a27235fd43494fab902d9054e22b60b1e64b?diff=split
"Extract Operation",netty,"Extract Operation	public addAfter(invoker ChannelHandlerInvoker, baseName String, name String, handler ChannelHandler) : ChannelPipeline extracted from public addAfter(group EventExecutorGroup, baseName String, name String, handler ChannelHandler) : ChannelPipeline in class io.netty.channel.DefaultChannelPipeline",https://github.com/netty/netty/commit/132af3a485015ff912bd567a47881814d2ce1828?diff=split
"Rename Class",junit,"Rename Class	org.junit.tests.experimental.interceptor.ExpectedExceptionInterceptorTest renamed to org.junit.tests.experimental.rules.ExpectedExceptionRuleTest",https://github.com/junit-team/junit/commit/97afc5e205e1c6ac0f5a9aefabed92d58d88ab81?diff=split
"Rename Class",titan,"Rename Class	com.thinkaurelius.titan.hadoop.HadoopEdgeTest renamed to com.thinkaurelius.titan.hadoop.FaunusEdgeTest",https://github.com/thinkaurelius/titan/commit/e1ac9ae34518829d69f60234525b2133b31a88e2?diff=split
"Rename Class",voldemort,"Rename Class	voldemort.client.SystemStore renamed to voldemort.client.SystemStoreClient",https://github.com/voldemort/voldemort/commit/1019ecb7e19d27ff35923f6213f654a8fcc94aff?diff=split
"Rename Class",RxJava,"Rename Class	org.rx.operations.OperationTake.UnitTest.TestWatchable renamed to org.rx.operations.OperationTake.UnitTest.TestObservable",https://github.com/ReactiveX/RxJava/commit/2a4122c11b95eaa3213c2c3e54a93d28b9231eec?diff=split
"Rename Class",voldemort,"Rename Class	voldemort.server.rest.RestServerGetRequestValidator renamed to voldemort.rest.RestGetRequestValidator",https://github.com/voldemort/voldemort/commit/9ebeb605f3f6434ccc7e2dc9214f99a5148c2d57?diff=split
"Rename Class",netty,"Rename Class	org.jboss.netty.handler.codec.http.HttpCookieDecoder renamed to org.jboss.netty.handler.codec.http.CookieDecoder",https://github.com/netty/netty/commit/b8bc78a7d089a27d30af68aef4efd4d2eb2a2308?diff=split
"Rename Class",netty,"Rename Class	org.jboss.netty.channel.socket.sctp.NioServerSocketChannelFactory renamed to org.jboss.netty.channel.socket.sctp.DefaultSctpClientChannelFactory",https://github.com/netty/netty/commit/dad06d539c746caf314c251d2c44830559d5389c?diff=split
"Rename Class",netty,"Rename Class	io.netty.buffer.ChannelBufferInputStream renamed to io.netty.buffer.ByteBufInputStream",https://github.com/netty/netty/commit/5164d91255a5cd68bcd1fade07e6ef4fdb3c7646?diff=split
"Rename Class",RxJava,"Rename Class	org.rx.operations.OperationMerge.UnitTest.TestASynchronousWatchable renamed to org.rx.operations.OperationMerge.UnitTest.TestASynchronousObservable",https://github.com/ReactiveX/RxJava/commit/2a4122c11b95eaa3213c2c3e54a93d28b9231eec?diff=split
"Rename Class",RxJava,"Rename Class	rx.operators.OperatorFromIterableTest renamed to rx.operators.OnSubscribeFromIterableTest",https://github.com/ReactiveX/RxJava/commit/744e1034d14005fcad7191b0e920342d4a163fee?diff=split
"Extract & Move Operation",netty,"Extract & Move Operation	public add(name AsciiString, values AsciiString) : Http2Headers extracted from public add(name CharSequence, values Object) : HttpHeaders in class io.netty.handler.codec.http.EmptyHttpHeaders & moved to class io.netty.handler.codec.http2.DefaultHttp2Headers",https://github.com/netty/netty/commit/43d097d25aecc227dae30eaa8b0666ca50e0d87e?diff=split
"Extract & Move Operation",titan,"Extract & Move Operation	public readInlineEdgeType(in ReadBuffer) : long extracted from private parseProperties(vertexid long, data Entry, parseHeaderOnly boolean, tx StandardTitanTx) : ImmutableLongObjectMap in class com.thinkaurelius.titan.graphdb.database.EdgeSerializer & moved to class com.thinkaurelius.titan.graphdb.database.idhandling.IDHandler",https://github.com/thinkaurelius/titan/commit/e3cf51623ab321f9dcde185038029722cefcf44c?diff=split
"Extract & Move Operation",netty,"Extract & Move Operation	package addToNextOutboundBuffer(ctx ChannelHandlerContext, msg Object) : void extracted from public flush(ctx ChannelHandlerContext, future ChannelFuture) : void in class io.netty.handler.codec.MessageToMessageEncoder & moved to class io.netty.handler.codec.CodecUtil",https://github.com/netty/netty/commit/b76c39318d8edf39759b25990edcc4ef26bb493a?diff=split
